===================================================================================================
VERIFICATION REPORT
Generated by verify_numbers.py
===================================================================================================

Statistic                                          Expected           Computed           Match?    
---------------------------------------------------------------------------------------------------
LEMON N total subjects                             215                215                OK        
delta N valid                                      N/A                42                 INFO      
delta mean_prop_positive                           N/A                0.953846           INFO      
delta t-test vs 0.5 (t)                            N/A                24.0386            INFO      
delta t-test vs 0.5 (p)                            N/A                8.74115e-26        INFO      
delta Pearson r(pp~age)                            N/A                0.0577572          INFO      
delta Pearson p(pp~age)                            N/A                0.716368           INFO      
delta Spearman rho(pp~age)                         N/A                0.158731           INFO      
delta young(<35) mean pp                           N/A                0.95338            INFO      
delta old(>55) mean pp                             N/A                0.955556           INFO      
delta Cohen's d (young-old)                        N/A                -0.0175633         INFO      
theta N valid                                      N/A                209                INFO      
theta mean_prop_positive                           N/A                0.52259            INFO      
theta t-test vs 0.5 (t)                            N/A                1.82432            INFO      
theta t-test vs 0.5 (p)                            N/A                0.069538           INFO      
theta Pearson r(pp~age)                            N/A                -0.0121583         INFO      
theta Pearson p(pp~age)                            N/A                0.861297           INFO      
theta Spearman rho(pp~age)                         N/A                -0.0180156         INFO      
theta young(<35) mean pp                           N/A                0.523651           INFO      
theta old(>55) mean pp                             N/A                0.523739           INFO      
theta Cohen's d (young-old)                        N/A                -0.000491231       INFO      
alpha N valid                                      N/A                215                INFO      
alpha mean_prop_positive                           N/A                0.612081           INFO      
alpha t-test vs 0.5 (t)                            N/A                10.405             INFO      
alpha t-test vs 0.5 (p)                            N/A                8.80375e-21        INFO      
alpha Pearson r(pp~age)                            N/A                -0.0131398         INFO      
alpha Pearson p(pp~age)                            N/A                0.848093           INFO      
alpha Spearman rho(pp~age)                         N/A                -0.0611057         INFO      
alpha young(<35) mean pp                           N/A                0.613131           INFO      
alpha old(>55) mean pp                             N/A                0.610134           INFO      
alpha Cohen's d (young-old)                        N/A                0.0188868          INFO      
beta N valid                                       N/A                215                INFO      
beta mean_prop_positive                            N/A                0.294953           INFO      
beta t-test vs 0.5 (t)                             N/A                -17.9195           INFO      
beta t-test vs 0.5 (p)                             N/A                1.80611e-44        INFO      
beta Pearson r(pp~age)                             N/A                -0.326036          INFO      
beta Pearson p(pp~age)                             N/A                1.02405e-06        INFO      
beta Spearman rho(pp~age)                          N/A                -0.357492          INFO      
beta young(<35) mean pp                            N/A                0.331935           INFO      
beta old(>55) mean pp                              N/A                0.222276           INFO      
beta Cohen's d (young-old)                         N/A                0.684733           INFO      
low_gamma N valid                                  N/A                215                INFO      
low_gamma mean_prop_positive                       N/A                0.387155           INFO      
low_gamma t-test vs 0.5 (t)                        N/A                -12.6985           INFO      
low_gamma t-test vs 0.5 (p)                        N/A                6.58639e-28        INFO      
low_gamma Pearson r(pp~age)                        N/A                -0.136802          INFO      
low_gamma Pearson p(pp~age)                        N/A                0.0451074          INFO      
low_gamma Spearman rho(pp~age)                     N/A                -0.146415          INFO      
low_gamma young(<35) mean pp                       N/A                0.399025           INFO      
low_gamma old(>55) mean pp                         N/A                0.363067           INFO      
low_gamma Cohen's d (young-old)                    N/A                0.277022           INFO      
EXPECTED beta r(pp~age)                            -0.326             -0.326036          OK        
EXPECTED beta p(pp~age)                            1e-06              1.02405e-06        OK        
EXPECTED beta Cohen's d                            0.71               0.684733           OK        
EXPECTED beta young mean                           0.332              0.331935           OK        
EXPECTED beta old mean                             0.222              0.222276           OK        
beta regional r(pp~age) [frontal]                  N/A                -0.228204          INFO      
beta regional p(pp~age) [frontal]                  N/A                0.000748364        INFO      
beta regional r(pp~age) [central]                  N/A                -0.29981           INFO      
beta regional p(pp~age) [central]                  N/A                7.68418e-06        INFO      
beta regional r(pp~age) [temporal]                 N/A                -0.0838103         INFO      
beta regional p(pp~age) [temporal]                 N/A                0.220994           INFO      
beta regional r(pp~age) [parietal]                 N/A                -0.203112          INFO      
beta regional p(pp~age) [parietal]                 N/A                0.00277065         INFO      
beta regional r(pp~age) [occipital]                N/A                -0.18196           INFO      
beta regional p(pp~age) [occipital]                N/A                0.00747594         INFO      
theta abs(A)~age r                                 N/A                0.449398           INFO      
theta abs(A)~age p                                 N/A                4.39224e-12        INFO      
theta H(sign)~age r                                N/A                0.0099202          INFO      
theta H(sign)~age p                                N/A                0.885015           INFO      
theta sigma(A)~age r                               N/A                0.467643           INFO      
theta sigma(A)~age p                               N/A                4.42648e-13        INFO      
beta abs(A)~age r                                  N/A                0.231519           INFO      
beta abs(A)~age p                                  N/A                0.000622645        INFO      
beta H(sign)~age r                                 N/A                -0.263009          INFO      
beta H(sign)~age p                                 N/A                9.50391e-05        INFO      
beta sigma(A)~age r                                N/A                0.194235           INFO      
beta sigma(A)~age p                                N/A                0.00425365         INFO      
Aperiodic exponent field(s) present                N/A                NOT IN summary.json (needs separate pipeline) INFO      
N with HRV (header)                                72                 72                 OK        
HRV per-subject fields present                     yes                yes                OK        
Dortmund beta r(pp~age)                            N/A                -0.314054          INFO      
